specimen_id,order,family,genus,species ,synonym,life_stage,lens,volume_mm3,area_mm2,breadth_mm,length_mm,width_mm,thickness_mm,flatness,anisotropy,elongation,sphericity ,eye_diameter_mm,axial_length_mm,lens_to_retina_mm,lens_diameter_mm,lens_depth_mm,sv_length_mm,stain,scan_type,adult_ecology,adult_ecology_2,ae_certainty,ae_source,activity_period,ap_source,ap_certainty ,comments,scan_source,scan_technician
KU-KUH-309278,anura,bombinatoridae,barbourula,busuangensis,barbourula_busuangensis,adult,left,62.0339,78.2426,5.13512,5.46728,4.61578,4.51946,0.768022,0.284953,0.931024,0.96856,8.2,8.2,6.3,4.65,4.09,,unstained,micro_ct,aquatic,aquatic,certain,Alcala and Brown (1987); Inger (1954) - p. 212,nocturnal,Alcala and Brown (1987),certain,,MorphoSource,MorphoSource
UF-H-57056,anura,bombinatoridae,bombina,variegata,bombina_variegata,adult,right,2.98631,10.6279,1.94847,2.01663,1.67618,,0.694984,0.323405,0.97354,0.943614,,,,,,,unstained,micro_ct,semi-aquatic,semi-aquatic,somewhat certain,AmphibiaWeb (2020),diurnal,Anderson and Wiens (2017),certain,,MorphoSource,
UF-H-57056,anura,bombinatoridae,bombina,variegata,bombina_variegata,adult,left,3.00315,10.4754,1.96757,1.98549,1.65269,,0.675032,0.349512,0.963641,0.960945,,,,,,,unstained,micro_ct,semi-aquatic,semi-aquatic,somewhat certain,AmphibiaWeb (2020),diurnal,Anderson and Wiens (2017),certain,,MorphoSource,
MVZ238726,anura,mantellidae,boophis,madagascariensis,rhacophorus_madagascariensis,adult,right,78.9591,95.2291,5.69668,5.94706,5.11498,5.09744,0.835197,0.25632,0.890424,0.934651,8.9,8.6,7.2,5.16,4.64,73.5,unstained,micro_ct,scansorial,terrestrial ,certain,AmphibiaWeb (2020),diurnal,Anderson and Wiens (2017),certain,,NMNH,Dr_Molly_Womack
MVZ238726,anura,mantellidae,boophis,madagascariensis,rhacophorus_madagascariensis,adult,left,79.7539,94.8581,5.59554,5.82715,5.15304,5.1016,0.813733,0.242359,0.931069,0.944592,8.9,8.6,6.8,5.35,4.82,73.5,unstained,micro_ct,scansorial,terrestrial ,certain,AmphibiaWeb (2020),diurnal,Anderson and Wiens (2017),certain,,NMNH,Dr_Molly_Womack
MCZA108657,anura,brachycephalidae,brachycephalus,ephippium,bufo_ephippium,adult,right,0.265198,2.12823,0.889972,0.928707,0.702032,0.687307,0.578191,0.455456,0.941805,0.93795,2.1,1.6,1.3,0.87,0.7,,iodine,dice_ct,ground-dwelling,terrestrial ,certain,Haddad et al. (2013),diurnal,Pombal et al. (1994); Anderson and Weins (2017); Haddad et al. (2013),certain,,MorphoSource,
MCZA108657,anura,brachycephalidae,brachycephalus,ephippium,bufo_ephippium,adult,left,0.267712,2.13808,0.888108,0.930188,0.706273,0.700826,0.596214,0.447347,0.926938,0.93952,2.2,1.6,1.3,0.97,0.7,,iodine,dice_ct,ground-dwelling,terrestrial ,certain,Haddad et al. (2013),diurnal,Pombal et al. (1994); Anderson and Weins (2017); Haddad et al. (2013),certain,,MorphoSource,
CAS196532,anura,brevicipitidae,breviceps,poweri,breviceps_poweri,adult,left,5.56659,15.6912,2.37981,2.42974,1.97601,,0.673943,0.340451,0.978642,0.968028,,,,,,,iodine,dice_ct,fossorial,fossorial ,uncertain ,IUCN (2020),nocturnal,Minter (1999),somewhat certain,,MorphoSource,
CAS196532,anura,brevicipitidae,breviceps,poweri,breviceps_poweri,adult,right,5.55586,15.6399,2.38194,2.43315,1.98003,,0.670179,0.343627,0.979399,0.969951,,,,,,,iodine,dice_ct,fossorial,fossorial ,uncertain ,IUCN (2020),nocturnal,Minter (1999),somewhat certain,,MorphoSource,
JWS 880,anura,bufonidae,bufo,bufo,rana_bufo,adult,left,7.02103,18.431,2.56066,2.58526,2.17766,2.16549,0.691977,0.310967,0.995746,0.962064,5,4.4,3.6,2.58,2.03,47.2,iodine,dice_ct,ground-dwelling,terrestrial ,certain,Halliday (2016),nocturnal,Halliday (2016); Anderson and Wiens (2017),certain,,BMNH,Dr_David_Gower
